Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1380384,-,-,-,3.49,-69.82,-5,100,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure
2011,1,1,0,0,0,0,0,0,0,0,0,23,160.01,0,0.132,0.0,4.808,359.5,100.0,23,990.0
2011,1,1,0,30,0,0,0,0,0,0,0,23,157.34,0,0.132,0.0,4.704,359.5,100.0,23,990.0
2011,1,1,1,0,0,0,0,0,0,0,0,23,152.94,0,0.132,0.0,4.601,0.5,100.0,23,990.0
2011,1,1,1,30,0,0,0,0,0,0,0,22,147.5,0,0.132,0.0,4.481,0.5,100.0,23,990.0
2011,1,1,2,0,0,0,0,0,0,0,0,22,141.47,0,0.132,0.0,4.362,2.2,100.0,23,990.0
2011,1,1,2,30,0,0,0,0,0,0,0,22,135.08,0,0.132,0.0,4.246,2.2,100.0,22,990.0
2011,1,1,3,0,0,0,0,0,0,0,0,22,128.48,0,0.132,0.0,4.131,1.4000000000000001,100.0,22,990.0
2011,1,1,3,30,0,0,0,0,0,0,0,22,121.75,0,0.132,0.0,4.061,1.4000000000000001,100.0,22,990.0
2011,1,1,4,0,0,0,0,0,0,0,3,22,114.94,0,0.132,0.0,3.991,0.30000000000000004,100.0,22,990.0
2011,1,1,4,30,0,0,0,0,0,0,0,21,108.07000000000001,0,0.132,0.0,3.973,0.30000000000000004,100.0,22,990.0
2011,1,1,5,0,0,0,0,0,0,0,0,21,101.17,0,0.132,0.0,3.956,1.3,100.0,22,990.0
2011,1,1,5,30,0,0,0,0,0,0,0,21,94.27,0,0.132,0.0,3.959,1.3,100.0,22,990.0
2011,1,1,6,0,19,81,23,19,81,23,0,21,87.38,0,0.132,0.0,3.962,0.30000000000000004,99.71000000000001,22,990.0
2011,1,1,6,30,54,356,113,54,356,113,0,21,80.53,0,0.132,0.0,3.972,0.30000000000000004,99.75,23,990.0
2011,1,1,7,0,77,534,227,77,534,227,0,21,73.72,0,0.132,0.0,3.983,10.0,93.67,24,990.0
2011,1,1,7,30,93,647,346,93,647,346,0,21,66.99,0,0.132,0.0,4.008,10.0,93.7,24,990.0
2011,1,1,8,0,104,726,463,104,726,463,0,21,60.38,0,0.132,0.0,4.034,17.400000000000002,87.74,25,990.0
2011,1,1,8,30,113,781,573,113,781,573,0,21,53.92,0,0.132,0.0,4.054,17.400000000000002,87.74,25,990.0
2011,1,1,9,0,120,821,673,120,821,673,0,22,47.7,0,0.132,0.0,4.077,20.3,83.62,26,990.0
2011,1,1,9,30,334,49,371,126,850,759,3,22,41.82,0,0.132,0.0,4.089,20.3,83.59,26,990.0
2011,1,1,10,0,331,475,714,101,922,843,3,22,36.46,0,0.132,0.0,4.101,21.200000000000003,81.16,27,990.0
2011,1,1,10,30,103,934,897,103,934,897,0,22,31.88,0,0.132,0.0,4.11,21.200000000000003,81.12,27,990.0
2011,1,1,11,0,105,943,934,105,943,934,0,22,28.46,0,0.132,0.0,4.12,19.8,78.53,28,990.0
2011,1,1,11,30,105,947,952,105,947,952,0,22,26.66,0,0.132,0.0,4.131,19.8,78.47,28,990.0
2011,1,1,12,0,106,946,950,106,946,950,0,23,26.8,0,0.132,0.0,4.143,16.0,75.22,28,990.0
2011,1,1,12,30,105,941,929,105,941,929,0,23,28.86,0,0.132,0.0,4.1690000000000005,16.0,75.17,28,990.0
2011,1,1,13,0,104,930,889,104,930,889,0,23,32.480000000000004,0,0.132,0.0,4.195,12.200000000000001,75.58,28,990.0
2011,1,1,13,30,101,916,832,101,916,832,0,23,37.2,0,0.132,0.0,4.233,12.200000000000001,75.55,28,990.0
2011,1,1,14,0,101,890,756,101,890,756,0,23,42.65,0,0.132,0.0,4.272,7.800000000000001,76.0,28,990.0
2011,1,1,14,30,96,863,667,96,863,667,0,23,48.58,0,0.132,0.0,4.312,7.800000000000001,80.54,27,990.0
2011,1,1,15,0,94,816,564,94,816,564,0,23,54.85,0,0.132,0.0,4.353,0.6000000000000001,82.25,27,990.0
2011,1,1,15,30,86,764,452,86,764,452,0,23,61.33,0,0.132,0.0,4.368,0.6000000000000001,87.23,27,990.0
2011,1,1,16,0,78,682,333,78,682,333,0,24,67.96000000000001,0,0.132,0.0,4.384,353.70000000000005,89.55,27,990.0
2011,1,1,16,30,64,570,214,64,570,214,0,24,74.71000000000001,0,0.132,0.0,4.386,353.70000000000005,95.03,26,990.0
2011,1,1,17,0,44,381,100,44,381,100,0,24,81.52,0,0.132,0.0,4.388,354.20000000000005,95.34,25,990.0
2011,1,1,17,30,12,83,15,12,83,15,0,24,88.39,0,0.132,0.0,4.393,354.20000000000005,100.0,25,990.0
2011,1,1,18,0,0,0,0,0,0,0,0,23,95.28,0,0.132,0.0,4.399,359.40000000000003,99.74000000000001,25,990.0
2011,1,1,18,30,0,0,0,0,0,0,0,23,102.18,0,0.132,0.0,4.406,359.40000000000003,99.77,24,990.0
2011,1,1,19,0,0,0,0,0,0,0,0,23,109.08,0,0.132,0.1,4.413,2.8000000000000003,98.45,24,990.0
2011,1,1,19,30,0,0,0,0,0,0,0,23,115.94,0,0.132,0.1,4.423,2.8000000000000003,100.0,24,990.0
2011,1,1,20,0,0,0,0,0,0,0,0,23,122.75,0,0.132,0.1,4.433,4.3,100.0,24,990.0
2011,1,1,20,30,0,0,0,0,0,0,0,23,129.47,0,0.132,0.1,4.44,4.3,100.0,23,990.0
2011,1,1,21,0,0,0,0,0,0,0,0,23,136.05,0,0.132,0.1,4.448,359.6,100.0,23,990.0
2011,1,1,21,30,0,0,0,0,0,0,0,23,142.4,0,0.132,0.1,4.457,359.6,100.0,23,990.0
2011,1,1,22,0,0,0,0,0,0,0,0,23,148.38,0,0.132,0.1,4.466,352.0,100.0,23,990.0
2011,1,1,22,30,0,0,0,0,0,0,0,22,153.71,0,0.132,0.1,4.477,352.0,100.0,22,990.0
2011,1,1,23,0,0,0,0,0,0,0,0,22,157.92000000000002,0,0.132,0.1,4.488,346.3,100.0,22,990.0
2011,1,1,23,30,0,0,0,0,0,0,3,22,160.28,0,0.132,0.0,4.502,346.3,100.0,22,990.0
2011,1,2,0,0,0,0,0,0,0,0,7,22,160.11,0,0.132,0.0,4.517,343.6,100.0,22,990.0
2011,1,2,0,30,0,0,0,0,0,0,7,22,157.47,0,0.132,0.0,4.546,343.6,100.0,22,990.0
2011,1,2,1,0,0,0,0,0,0,0,3,22,153.07,0,0.132,0.0,4.5760000000000005,345.40000000000003,100.0,22,990.0
2011,1,2,1,30,0,0,0,0,0,0,7,21,147.63,0,0.132,0.0,4.613,345.40000000000003,100.0,22,990.0
2011,1,2,2,0,0,0,0,0,0,0,0,21,141.6,0,0.132,0.0,4.651,351.1,100.0,22,990.0
2011,1,2,2,30,0,0,0,0,0,0,1,21,135.21,0,0.132,0.0,4.6770000000000005,351.1,100.0,22,990.0
2011,1,2,3,0,0,0,0,0,0,0,0,21,128.61,0,0.132,0.0,4.704,356.90000000000003,100.0,22,990.0
2011,1,2,3,30,0,0,0,0,0,0,0,21,121.87,0,0.132,0.0,4.705,356.90000000000003,100.0,22,990.0
2011,1,2,4,0,0,0,0,0,0,0,0,21,115.05,0,0.132,0.0,4.708,1.0,100.0,22,990.0
2011,1,2,4,30,0,0,0,0,0,0,0,21,108.18,0,0.132,0.0,4.697,1.0,100.0,21,990.0
2011,1,2,5,0,0,0,0,0,0,0,0,21,101.28,0,0.132,0.0,4.686,5.5,100.0,21,990.0
2011,1,2,5,30,0,0,0,0,0,0,0,21,94.38,0,0.132,0.0,4.67,5.5,100.0,21,990.0
2011,1,2,6,0,17,135,23,17,135,23,0,21,87.48,0,0.132,0.0,4.656,13.100000000000001,99.73,22,990.0
2011,1,2,6,30,46,421,115,46,421,115,0,21,80.62,0,0.132,0.0,4.638,13.100000000000001,99.78,22,990.0
2011,1,2,7,0,65,592,230,65,592,230,0,22,73.81,0,0.132,0.0,4.62,22.6,95.17,23,990.0
2011,1,2,7,30,78,697,349,78,697,349,0,22,67.08,0,0.132,0.0,4.6080000000000005,22.6,95.19,24,990.0
2011,1,2,8,0,86,772,467,86,772,467,0,22,60.45,0,0.132,0.0,4.596,26.6,90.26,25,990.0
2011,1,2,8,30,94,822,577,94,822,577,0,22,53.99,0,0.132,0.0,4.591,26.6,85.04,25,990.0
2011,1,2,9,0,100,857,677,100,857,677,0,22,47.76,0,0.132,0.0,4.587,27.3,81.13,26,990.0
2011,1,2,9,30,105,884,763,105,884,763,0,22,41.86,0,0.132,0.0,4.569,27.3,81.10000000000001,26,990.0
2011,1,2,10,0,102,914,838,102,914,838,0,22,36.480000000000004,0,0.132,0.0,4.5520000000000005,27.8,78.14,27,990.0
2011,1,2,10,30,105,928,893,105,928,893,0,22,31.87,0,0.132,0.0,4.526,27.8,78.11,27,990.0
2011,1,2,11,0,107,935,930,107,935,930,0,23,28.42,0,0.132,0.0,4.501,27.6,78.93,27,990.0
2011,1,2,11,30,107,940,948,107,940,948,0,23,26.59,0,0.132,0.0,4.4670000000000005,27.6,78.89,27,990.0
2011,1,2,12,0,107,940,948,107,940,948,0,23,26.7,0,0.132,0.0,4.434,28.3,79.03,28,990.0
2011,1,2,12,30,106,936,928,106,936,928,0,23,28.740000000000002,0,0.132,0.0,4.393,28.3,79.0,27,990.0
2011,1,2,13,0,104,930,889,104,930,889,0,23,32.34,0,0.132,0.0,4.353,29.0,79.37,27,990.0
2011,1,2,13,30,101,916,833,101,916,833,0,23,37.06,0,0.132,0.0,4.307,29.0,79.34,27,990.0
2011,1,2,14,0,98,897,760,98,897,760,0,23,42.51,0,0.132,0.0,4.261,27.900000000000002,80.28,27,990.0
2011,1,2,14,30,94,871,672,94,871,672,0,23,48.45,0,0.132,0.0,4.212,27.900000000000002,85.11,27,990.0
2011,1,2,15,0,88,833,570,88,833,570,0,23,54.71,0,0.132,0.0,4.163,25.700000000000003,86.63,27,990.0
2011,1,2,15,30,81,783,459,81,783,459,0,23,61.2,0,0.132,0.0,4.116,25.700000000000003,86.63,26,990.0
2011,1,2,16,0,73,706,340,73,706,340,0,24,67.84,0,0.132,0.0,4.069,22.200000000000003,88.78,26,990.0
2011,1,2,16,30,60,599,220,60,599,220,0,24,74.59,0,0.132,0.0,4.021,22.200000000000003,94.2,25,990.0
2011,1,2,17,0,43,413,104,43,413,104,0,24,81.4,0,0.132,0.0,3.974,19.6,95.26,25,990.0
2011,1,2,17,30,13,112,16,13,112,16,0,24,88.27,0,0.132,0.0,3.919,19.6,100.0,24,990.0
2011,1,2,18,0,0,0,0,0,0,0,0,23,95.17,0,0.132,0.0,3.864,17.5,100.0,24,990.0
2011,1,2,18,30,0,0,0,0,0,0,0,23,102.08,0,0.132,0.0,3.807,17.5,100.0,23,990.0
2011,1,2,19,0,0,0,0,0,0,0,3,23,108.98,0,0.132,0.0,3.751,16.400000000000002,100.0,23,990.0
2011,1,2,19,30,0,0,0,0,0,0,0,22,115.85000000000001,0,0.132,0.0,3.702,16.400000000000002,100.0,23,990.0
2011,1,2,20,0,0,0,0,0,0,0,0,22,122.67,0,0.132,0.0,3.654,15.200000000000001,100.0,23,990.0
2011,1,2,20,30,0,0,0,0,0,0,0,22,129.39000000000001,0,0.132,0.0,3.616,15.200000000000001,100.0,22,990.0
2011,1,2,21,0,0,0,0,0,0,0,0,22,135.98,0,0.132,0.0,3.579,16.1,100.0,22,990.0
2011,1,2,21,30,0,0,0,0,0,0,0,22,142.35,0,0.132,0.0,3.551,16.1,100.0,22,990.0
2011,1,2,22,0,0,0,0,0,0,0,0,22,148.34,0,0.132,0.0,3.524,21.400000000000002,100.0,22,990.0
2011,1,2,22,30,0,0,0,0,0,0,1,21,153.70000000000002,0,0.132,0.0,3.503,21.400000000000002,100.0,22,990.0
2011,1,2,23,0,0,0,0,0,0,0,0,21,157.95000000000002,0,0.132,0.1,3.482,18.8,100.0,22,990.0
2011,1,2,23,30,0,0,0,0,0,0,0,21,160.35,0,0.132,0.1,3.458,18.8,100.0,21,990.0
2011,1,3,0,0,0,0,0,0,0,0,0,21,160.22,0,0.132,0.1,3.435,18.2,100.0,21,990.0
2011,1,3,0,30,0,0,0,0,0,0,0,20,157.6,0,0.132,0.1,3.407,18.2,100.0,21,990.0
2011,1,3,1,0,0,0,0,0,0,0,0,20,153.21,0,0.132,0.1,3.38,19.200000000000003,100.0,21,990.0
2011,1,3,1,30,0,0,0,0,0,0,0,20,147.77,0,0.132,0.1,3.358,19.200000000000003,100.0,21,990.0
2011,1,3,2,0,0,0,0,0,0,0,0,20,141.73,0,0.132,0.1,3.337,19.8,100.0,21,990.0
2011,1,3,2,30,0,0,0,0,0,0,0,20,135.34,0,0.132,0.0,3.327,19.8,100.0,20,990.0
2011,1,3,3,0,0,0,0,0,0,0,0,20,128.74,0,0.132,0.0,3.317,21.1,100.0,20,990.0
2011,1,3,3,30,0,0,0,0,0,0,0,20,122.0,0,0.132,0.0,3.314,21.1,100.0,20,990.0
2011,1,3,4,0,0,0,0,0,0,0,0,20,115.17,0,0.132,0.0,3.311,14.9,100.0,20,990.0
2011,1,3,4,30,0,0,0,0,0,0,0,20,108.29,0,0.132,0.0,3.3160000000000003,14.9,100.0,20,990.0
2011,1,3,5,0,0,0,0,0,0,0,0,20,101.39,0,0.132,0.1,3.322,1.5,100.0,20,990.0
2011,1,3,5,30,0,0,0,0,0,0,3,20,94.48,0,0.132,0.0,3.339,1.5,100.0,20,990.0
2011,1,3,6,0,17,151,23,17,151,23,0,21,87.58,0,0.132,0.0,3.357,346.70000000000005,100.0,21,990.0
