Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1157041,-,-,-,4.65,-76.66,-5,120,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure
2014,1,1,0,0,0,0,0,0,0,0,3,22,161.48,0,0.136,1.0,6.058,224.60000000000002,100.0,24,980.0
2014,1,1,0,30,0,0,0,0,0,0,4,22,161.02,0,0.136,1.0,6.025,224.60000000000002,100.0,23,980.0
2014,1,1,1,0,0,0,0,0,0,0,4,22,158.04,0,0.136,1.1,5.993,222.8,100.0,23,980.0
2014,1,1,1,30,0,0,0,0,0,0,4,21,153.37,0,0.136,1.1,5.9670000000000005,222.8,100.0,23,980.0
2014,1,1,2,0,0,0,0,0,0,0,4,21,147.74,0,0.136,1.2000000000000002,5.941,221.8,100.0,23,980.0
2014,1,1,2,30,0,0,0,0,0,0,4,21,141.58,0,0.136,1.1,5.925,221.8,100.0,23,980.0
2014,1,1,3,0,0,0,0,0,0,0,4,21,135.1,0,0.136,1.1,5.909,220.8,100.0,23,980.0
2014,1,1,3,30,0,0,0,0,0,0,4,21,128.44,0,0.136,1.1,5.905,220.8,100.0,23,980.0
2014,1,1,4,0,0,0,0,0,0,0,4,21,121.67,0,0.136,1.2000000000000002,5.902,220.70000000000002,100.0,23,980.0
2014,1,1,4,30,0,0,0,0,0,0,4,21,114.83,0,0.136,1.1,5.917,220.70000000000002,100.0,23,980.0
2014,1,1,5,0,0,0,0,0,0,0,7,21,107.94,0,0.136,1.1,5.932,218.3,100.0,23,980.0
2014,1,1,5,30,0,0,0,0,0,0,6,21,101.04,0,0.136,1.2000000000000002,5.961,218.3,100.0,23,980.0
2014,1,1,6,0,0,0,0,0,0,0,6,21,94.15,0,0.136,1.3,5.99,215.0,100.0,23,980.0
2014,1,1,6,30,4,0,4,19,48,21,6,21,87.27,4,0.136,1.7000000000000002,6.026,215.0,100.0,23,980.0
2014,1,1,7,0,22,0,22,63,262,106,7,22,80.43,0,0.136,2.1,6.062,213.60000000000002,100.0,24,980.0
2014,1,1,7,30,22,0,22,93,432,215,4,22,73.65,0,0.136,2.3000000000000003,6.095,213.60000000000002,100.0,24,980.0
2014,1,1,8,0,86,0,86,116,543,329,4,23,66.96000000000001,0,0.136,2.6,6.1290000000000004,214.5,100.0,25,980.0
2014,1,1,8,30,219,84,261,133,626,442,8,23,60.39,0,0.136,2.7,6.15,214.5,100.0,25,980.0
2014,1,1,9,0,199,9,205,141,695,550,7,23,54.01,0,0.136,2.8000000000000003,6.171,218.20000000000002,94.58,26,980.0
2014,1,1,9,30,317,85,374,151,738,646,7,23,47.870000000000005,0,0.136,2.8000000000000003,6.173,218.20000000000002,94.56,26,980.0
2014,1,1,10,0,365,102,441,180,730,722,8,22,42.11,0,0.136,2.9000000000000004,6.175,221.0,87.95,27,980.0
2014,1,1,10,30,360,46,397,187,755,791,7,22,36.9,0,0.136,2.9000000000000004,6.162,221.0,87.92,27,980.0
2014,1,1,11,0,416,77,481,206,749,838,7,22,32.51,0,0.136,2.9000000000000004,6.149,226.0,87.55,27,980.0
2014,1,1,11,30,449,106,542,209,760,872,7,22,29.310000000000002,0,0.136,2.9000000000000004,6.147,226.0,87.5,27,980.0
2014,1,1,12,0,462,117,565,211,765,888,7,22,27.72,0,0.136,2.9000000000000004,6.146,235.4,82.42,28,980.0
2014,1,1,12,30,425,61,479,211,764,885,7,22,28.02,0,0.136,2.9000000000000004,6.166,235.4,82.37,28,980.0
2014,1,1,13,0,407,54,454,245,700,851,6,22,30.150000000000002,0,0.136,2.9000000000000004,6.186,245.9,82.43,28,980.0
2014,1,1,13,30,295,17,309,241,686,811,6,22,33.77,0,0.136,2.8000000000000003,6.207,245.9,87.42,27,980.0
2014,1,1,14,0,342,40,374,251,636,749,7,22,38.45,0,0.136,2.8000000000000003,6.228,251.60000000000002,87.87,27,980.0
2014,1,1,14,30,235,11,243,240,605,676,6,22,43.86,0,0.136,2.7,6.242,251.60000000000002,87.85000000000001,27,980.0
2014,1,1,15,0,135,0,135,218,580,593,7,22,49.75,0,0.136,2.7,6.256,249.8,88.57000000000001,27,980.0
2014,1,1,15,30,182,5,185,200,526,495,7,22,55.980000000000004,0,0.136,2.5,6.259,249.8,94.02,26,980.0
2014,1,1,16,0,125,0,125,186,431,385,7,23,62.43,0,0.136,2.4000000000000004,6.2620000000000005,247.8,94.71000000000001,26,980.0
2014,1,1,16,30,113,0,113,153,339,275,8,23,69.04,0,0.136,2.1,6.257000000000001,247.8,100.0,25,980.0
