Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1100209,-,-,-,1.61,-78.54,-5,82,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure
2007,1,1,0,0,0,0,0,0,0,0,7,23,158.16,0,0.132,1.7000000000000002,5.64,247.20000000000002,98.0,24,990.0
2007,1,1,0,30,0,0,0,0,0,0,4,23,158.36,0,0.132,1.7000000000000002,5.609,247.20000000000002,97.97,24,990.0
2007,1,1,1,0,0,0,0,0,0,0,4,23,156.22,0,0.132,1.8,5.58,246.5,97.96000000000001,24,990.0
2007,1,1,1,30,0,0,0,0,0,0,8,23,152.28,0,0.132,1.8,5.561,246.5,100.0,24,990.0
2007,1,1,2,0,0,0,0,0,0,0,7,23,147.18,0,0.132,1.8,5.5440000000000005,245.70000000000002,100.0,24,990.0
2007,1,1,2,30,0,0,0,0,0,0,7,23,141.39000000000001,0,0.132,1.7000000000000002,5.5280000000000005,245.70000000000002,100.0,24,990.0
2007,1,1,3,0,0,0,0,0,0,0,4,23,135.17000000000002,0,0.132,1.7000000000000002,5.5120000000000005,243.20000000000002,100.0,24,990.0
2007,1,1,3,30,0,0,0,0,0,0,4,23,128.69,0,0.132,1.7000000000000002,5.494,243.20000000000002,100.0,23,990.0
2007,1,1,4,0,0,0,0,0,0,0,3,23,122.04,0,0.132,1.8,5.478,237.3,100.0,23,990.0
2007,1,1,4,30,0,0,0,0,0,0,7,23,115.27,0,0.132,1.9000000000000001,5.47,237.3,100.0,23,990.0
2007,1,1,5,0,0,0,0,0,0,0,4,23,108.44,0,0.132,2.0,5.463,231.8,100.0,23,990.0
2007,1,1,5,30,0,0,0,0,0,0,4,23,101.56,0,0.132,2.1,5.47,231.8,100.0,23,990.0
2007,1,1,6,0,0,0,0,0,0,0,4,23,94.67,0,0.132,2.3000000000000003,5.477,230.10000000000002,100.0,24,990.0
2007,1,1,6,30,3,0,3,14,26,15,7,23,87.77,4,0.132,2.6,5.489,230.10000000000002,96.72,24,990.0
2007,1,1,7,0,21,0,21,64,213,97,4,23,80.89,0,0.132,3.0,5.502,232.20000000000002,89.14,25,990.0
2007,1,1,7,30,102,264,175,101,380,205,7,23,74.04,0,0.132,3.0,5.518,232.20000000000002,89.16,25,990.0
2007,1,1,8,0,115,0,115,128,495,320,4,22,67.26,0,0.132,3.1,5.535,237.4,81.65,26,990.0
2007,1,1,8,30,188,21,199,149,581,434,4,22,60.56,0,0.132,3.1,5.5440000000000005,237.4,81.64,26,990.0
2007,1,1,9,0,269,85,320,158,659,546,3,22,54.0,0,0.132,3.1,5.554,247.5,76.08,27,990.0
2007,1,1,9,30,330,160,439,169,706,645,3,22,47.64,0,0.132,3.0,5.558,247.5,76.06,27,990.0
2007,1,1,10,0,358,77,416,170,756,736,3,22,41.57,0,0.132,2.9000000000000004,5.563,263.7,71.88,28,990.0
2007,1,1,10,30,409,110,499,177,781,809,4,22,35.95,0,0.132,2.9000000000000004,5.565,263.7,71.84,28,990.0
2007,1,1,11,0,446,226,640,177,806,868,3,22,31.03,0,0.132,2.9000000000000004,5.5680000000000005,280.6,68.22,29,990.0
2007,1,1,11,30,466,128,581,180,818,907,3,22,27.2,0,0.132,3.0,5.564,280.6,68.17,29,990.0
2007,1,1,12,0,459,84,535,174,834,931,3,22,24.97,0,0.132,3.2,5.562,290.7,64.39,30,990.0
2007,1,1,12,30,480,229,688,174,835,932,3,22,24.78,0,0.132,3.4000000000000004,5.557,290.7,64.35,30,990.0
2007,1,1,13,0,474,166,624,170,835,916,3,22,26.66,0,0.132,3.6,5.5520000000000005,292.40000000000003,64.3,30,990.0
2007,1,1,13,30,444,267,675,167,825,880,3,22,30.240000000000002,0,0.132,3.6,5.558,292.40000000000003,68.06,30,990.0
2007,1,1,14,0,422,135,533,170,798,824,3,22,34.99,0,0.132,3.7,5.564,289.90000000000003,68.17,30,990.0
2007,1,1,14,30,377,104,457,164,775,753,3,22,40.51,0,0.132,3.7,5.583,289.90000000000003,68.15,29,990.0
2007,1,1,15,0,332,100,401,162,732,666,3,22,46.51,0,0.132,3.7,5.602,287.3,68.3,29,990.0
2007,1,1,15,30,173,1,174,152,688,568,3,22,52.83,0,0.132,3.6,5.644,287.3,72.36,28,990.0
2007,1,1,16,0,182,11,187,148,603,456,3,22,59.36,0,0.132,3.6,5.687,286.90000000000003,72.61,28,990.0
2007,1,1,16,30,159,30,172,130,521,341,3,22,66.04,0,0.132,3.5,5.746,286.90000000000003,77.0,27,990.0
2007,1,1,17,0,108,8,111,115,359,221,3,22,72.81,4,0.132,3.5,5.805,291.1,77.62,27,990.0
2007,1,1,17,30,75,206,112,75,206,112,1,22,79.65,0,0.132,3.3000000000000003,5.8500000000000005,291.1,82.36,26,990.0
2007,1,1,18,0,21,26,23,21,26,23,1,23,86.53,0,0.132,3.2,5.896,294.8,89.19,26,990.0
