Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1157041,-,-,-,4.65,-76.66,-5,120,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure
2001,1,1,0,0,0,0,0,0,0,0,1,22,161.49,0,0.137,0.6000000000000001,5.751,264.8,100.0,24,980.0
2001,1,1,0,30,0,0,0,0,0,0,3,21,161.04,0,0.137,0.6000000000000001,5.694,264.8,100.0,23,980.0
2001,1,1,1,0,0,0,0,0,0,0,0,21,158.06,0,0.137,0.6000000000000001,5.6370000000000005,267.7,100.0,23,980.0
2001,1,1,1,30,0,0,0,0,0,0,1,21,153.39000000000001,0,0.137,0.6000000000000001,5.585,267.7,100.0,23,980.0
2001,1,1,2,0,0,0,0,0,0,0,0,21,147.76,0,0.137,0.6000000000000001,5.534,273.8,100.0,23,980.0
2001,1,1,2,30,0,0,0,0,0,0,0,21,141.6,0,0.137,0.5,5.481,273.8,100.0,23,980.0
2001,1,1,3,0,0,0,0,0,0,0,0,21,135.13,0,0.137,0.5,5.43,277.0,100.0,23,980.0
2001,1,1,3,30,0,0,0,0,0,0,7,21,128.47,0,0.137,0.5,5.372,277.0,100.0,23,980.0
2001,1,1,4,0,0,0,0,0,0,0,7,21,121.7,0,0.137,0.5,5.315,275.7,100.0,23,980.0
2001,1,1,4,30,0,0,0,0,0,0,7,21,114.85000000000001,0,0.137,0.5,5.268,275.7,100.0,23,980.0
2001,1,1,5,0,0,0,0,0,0,0,7,21,107.97,0,0.137,0.5,5.221,274.90000000000003,100.0,23,980.0
2001,1,1,5,30,0,0,0,0,0,0,3,21,101.07000000000001,0,0.137,0.5,5.2010000000000005,274.90000000000003,100.0,23,980.0
2001,1,1,6,0,0,0,0,0,0,0,7,21,94.17,0,0.137,0.5,5.182,268.8,100.0,23,980.0
2001,1,1,6,30,25,0,25,18,153,25,7,21,87.29,4,0.137,0.5,5.191,268.8,100.0,23,980.0
2001,1,1,7,0,47,423,117,46,430,117,8,22,80.45,0,0.137,0.5,5.2010000000000005,255.10000000000002,100.0,24,980.0
2001,1,1,7,30,64,595,232,64,595,232,0,22,73.67,0,0.137,0.6000000000000001,5.226,255.10000000000002,99.52,25,980.0
2001,1,1,8,0,77,695,350,77,695,350,0,23,66.98,0,0.137,0.8,5.252,234.4,94.54,26,980.0
2001,1,1,8,30,87,765,465,87,765,465,0,23,60.410000000000004,0,0.137,1.0,5.284,234.4,94.54,26,980.0
2001,1,1,9,0,98,807,572,98,807,572,1,22,54.02,0,0.137,1.3,5.317,226.9,86.26,27,980.0
2001,1,1,9,30,157,0,157,104,843,669,3,22,47.89,0,0.137,1.5,5.364,226.9,86.25,27,980.0
2001,1,1,10,0,171,3,174,138,814,742,7,22,42.13,4,0.137,1.8,5.412,227.10000000000002,79.76,28,980.0
2001,1,1,10,30,392,196,549,142,836,811,8,22,36.910000000000004,4,0.137,2.0,5.471,227.10000000000002,79.74,28,980.0
2001,1,1,11,0,441,166,582,156,834,859,3,22,32.51,0,0.137,2.2,5.532,231.3,75.33,29,980.0
2001,1,1,11,30,461,178,617,158,843,894,3,22,29.310000000000002,0,0.137,2.3000000000000003,5.5920000000000005,231.3,75.3,29,980.0
2001,1,1,12,0,179,816,902,179,816,902,0,22,27.71,0,0.137,2.4000000000000004,5.6530000000000005,235.4,76.13,29,980.0
2001,1,1,12,30,179,815,899,179,815,899,0,22,28.01,0,0.137,2.4000000000000004,5.707,235.4,80.7,28,980.0
2001,1,1,13,0,173,816,879,173,816,879,0,22,30.13,0,0.137,2.5,5.7620000000000005,239.4,81.68,28,980.0
2001,1,1,13,30,431,221,615,170,803,838,3,22,33.75,0,0.137,2.5,5.814,239.4,81.65,28,980.0
2001,1,1,14,0,384,85,451,179,760,775,3,22,38.43,0,0.137,2.6,5.868,241.20000000000002,82.88,28,980.0
2001,1,1,14,30,200,6,205,172,733,701,3,22,43.83,0,0.137,2.5,5.912,241.20000000000002,87.92,27,980.0
2001,1,1,15,0,310,111,382,174,672,609,3,23,49.730000000000004,0,0.137,2.5,5.957,241.9,89.44,27,980.0
2001,1,1,15,30,247,302,416,162,620,509,7,23,55.95,0,0.137,2.4000000000000004,5.994,241.9,94.94,26,980.0
2001,1,1,16,0,179,24,190,156,518,397,6,23,62.4,0,0.137,2.4000000000000004,6.032,242.3,96.53,26,980.0
2001,1,1,16,30,45,0,45,133,422,284,6,23,69.01,0,0.137,2.1,6.0600000000000005,242.3,100.0,25,980.0
2001,1,1,17,0,96,56,110,101,290,172,6,23,75.73,0,0.137,1.9000000000000001,6.089,242.0,100.0,25,980.0
2001,1,1,17,30,45,2,45,55,117,71,6,23,82.54,4,0.137,1.7000000000000002,6.115,242.0,100.0,25,980.0
2001,1,1,18,0,0,0,0,0,0,0,6,23,89.39,0,0.137,1.5,6.142,239.5,100.0,25,980.0
2001,1,1,18,30,0,0,0,0,0,0,6,23,96.28,0,0.137,1.5,6.166,239.5,100.0,25,980.0
2001,1,1,19,0,0,0,0,0,0,0,6,23,103.18,0,0.137,1.5,6.191,234.10000000000002,100.0,25,980.0
2001,1,1,19,30,0,0,0,0,0,0,6,23,110.09,0,0.137,1.5,6.2170000000000005,234.10000000000002,100.0,25,980.0
2001,1,1,20,0,0,0,0,0,0,0,6,23,116.96000000000001,0,0.137,1.6,6.244,230.4,100.0,25,980.0
2001,1,1,20,30,0,0,0,0,0,0,6,22,123.79,0,0.137,1.5,6.2700000000000005,230.4,100.0,24,980.0
2001,1,1,21,0,0,0,0,0,0,0,6,22,130.54,0,0.137,1.5,6.296,228.4,100.0,24,980.0
2001,1,1,21,30,0,0,0,0,0,0,6,22,137.16,0,0.137,1.5,6.297,228.4,100.0,24,980.0
2001,1,1,22,0,0,0,0,0,0,0,6,22,143.56,0,0.137,1.5,6.298,224.5,100.0,24,980.0
2001,1,1,22,30,0,0,0,0,0,0,6,22,149.6,0,0.137,1.4000000000000001,6.248,224.5,100.0,24,980.0
2001,1,1,23,0,0,0,0,0,0,0,6,22,155.01,0,0.137,1.3,6.198,221.60000000000002,100.0,24,980.0
2001,1,1,23,30,0,0,0,0,0,0,8,21,159.26,0,0.137,1.2000000000000002,6.111,221.60000000000002,100.0,23,980.0
2001,1,2,0,0,0,0,0,0,0,0,7,21,161.56,0,0.137,1.1,6.025,226.0,100.0,23,980.0
2001,1,2,0,30,0,0,0,0,0,0,7,21,161.15,0,0.137,0.9,5.974,226.0,100.0,23,980.0
2001,1,2,1,0,0,0,0,0,0,0,7,21,158.19,0,0.137,0.8,5.924,235.0,100.0,23,980.0
