Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1386492,-,-,-,-0.55,-69.62,-5,83,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure
2009,1,1,0,0,0,0,0,0,0,0,1,23,156.05,0,0.137,0.1,5.731,56.7,100.0,23,990.0
2009,1,1,0,30,0,0,0,0,0,0,1,23,153.72,0,0.137,0.1,5.707,56.7,100.0,23,990.0
2009,1,1,1,0,0,0,0,0,0,0,1,23,149.77,0,0.137,0.1,5.684,53.900000000000006,100.0,23,990.0
2009,1,1,1,30,0,0,0,0,0,0,3,22,144.74,0,0.137,0.1,5.658,53.900000000000006,100.0,23,990.0
2009,1,1,2,0,0,0,0,0,0,0,4,22,139.02,0,0.137,0.1,5.633,53.7,100.0,23,990.0
2009,1,1,2,30,0,0,0,0,0,0,4,22,132.88,0,0.137,0.1,5.609,53.7,100.0,23,990.0
2009,1,1,3,0,0,0,0,0,0,0,4,22,126.46000000000001,0,0.137,0.2,5.587,55.5,100.0,23,990.0
2009,1,1,3,30,0,0,0,0,0,0,4,22,119.86,0,0.137,0.2,5.5680000000000005,55.5,100.0,22,990.0
2009,1,1,4,0,0,0,0,0,0,0,4,22,113.13,0,0.137,0.2,5.55,59.400000000000006,100.0,22,990.0
2009,1,1,4,30,0,0,0,0,0,0,4,22,106.32000000000001,0,0.137,0.1,5.535,59.400000000000006,100.0,22,1000.0
2009,1,1,5,0,0,0,0,0,0,0,4,22,99.46000000000001,0,0.137,0.1,5.5200000000000005,62.2,100.0,22,1000.0
2009,1,1,5,30,0,0,0,0,0,0,4,22,92.57000000000001,0,0.137,0.0,5.509,62.2,100.0,22,1000.0
2009,1,1,6,0,9,0,9,24,265,44,4,23,85.67,4,0.137,0.0,5.4990000000000006,63.400000000000006,100.0,23,1000.0
2009,1,1,6,30,31,0,31,48,509,147,4,23,78.77,0,0.137,0.0,5.5,63.400000000000006,96.92,24,1000.0
2009,1,1,7,0,76,0,76,62,657,266,4,23,71.9,0,0.137,0.0,5.502,180.0,92.19,25,1000.0
2009,1,1,7,30,169,38,186,72,746,387,4,23,65.09,0,0.137,0.0,5.51,180.0,92.2,25,1000.0
2009,1,1,8,0,240,123,305,79,811,505,4,23,58.35,0,0.137,0.0,5.5200000000000005,180.0,86.59,26,1000.0
2009,1,1,8,30,295,128,375,85,855,614,4,23,51.730000000000004,0,0.137,0.0,5.538,180.0,86.59,26,1000.0
2009,1,1,9,0,338,273,530,90,886,713,3,23,45.29,0,0.137,0.0,5.557,180.0,81.78,27,1000.0
2009,1,1,9,30,383,273,596,94,909,799,4,23,39.14,0,0.137,0.0,5.573,180.0,81.77,27,1000.0
2009,1,1,10,0,423,269,648,97,925,870,3,23,33.44,0,0.137,0.0,5.59,180.0,77.59,28,1000.0
2009,1,1,10,30,464,166,610,100,937,924,4,23,28.45,0,0.137,0.0,5.601,180.0,77.56,28,1000.0
2009,1,1,11,0,484,178,646,100,946,960,4,23,24.63,0,0.137,0.0,5.613,180.0,78.2,28,1000.0
2009,1,1,11,30,489,237,708,101,949,977,3,23,22.59,0,0.137,0.0,5.6240000000000006,180.0,78.16,28,1000.0
2009,1,1,12,0,101,949,976,101,949,976,0,23,22.8,0,0.137,0.0,5.636,180.0,78.77,29,1000.0
2009,1,1,12,30,100,944,955,100,944,955,0,23,25.22,0,0.137,0.0,5.638,180.0,78.73,29,990.0
2009,1,1,13,0,120,903,908,120,903,908,0,24,29.29,0,0.137,0.0,5.641,180.0,79.53,29,990.0
2009,1,1,13,30,117,889,851,117,889,851,0,24,34.43,0,0.137,0.0,5.632,180.0,79.5,28,990.0
2009,1,1,14,0,111,874,778,111,874,778,0,24,40.24,0,0.137,0.0,5.6240000000000006,180.0,81.26,28,990.0
2009,1,1,14,30,106,847,689,106,847,689,0,24,46.45,0,0.137,0.0,5.606,180.0,86.13,28,990.0
2009,1,1,15,0,97,817,590,97,817,590,0,24,52.93,0,0.137,0.0,5.588,180.0,88.8,28,990.0
2009,1,1,15,30,89,768,478,89,768,478,0,24,59.57,0,0.137,0.0,5.573,180.0,88.8,27,990.0
